Rank,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Alex Abrines\abrinal01,SG,25,OKC,7,149,9.5,0.56,0.717,0.109,0.6,5.7,3,3.8,2.2,0.5,5.9,13.6,,0.1,0.2,0.3,0.095,,-0.9,0,-0.9,0
2,Jaylen Adams\adamsja01,PG,22,ATL,4,13,7.3,0.375,1,0,0,15.8,7.8,10.3,0,6.2,0,12.5,,0,0,0,-0.006,,-5.6,0.1,-5.4,0
3,Steven Adams\adamsst01,C,25,OKC,6,207,18.5,0.533,0,0.533,14.8,20,17.3,5.6,2.4,3.2,10.8,15.8,,0.3,0.4,0.6,0.15,,-1.3,3.5,2.2,0.2
4,Bam Adebayo\adebaba01,C,21,MIA,7,124,15.2,0.552,0.054,0.622,12.5,26.6,19.5,8.2,1.1,1.3,17.5,18.6,,0.1,0.2,0.3,0.106,,-1.9,1.7,-0.3,0.1
5,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,2,5,-6.3,0.174,0.5,1,21.7,0,10.8,0,0,0,0,24.2,,0,0,0,-0.214,,-9.9,-8.1,-18,0
6,LaMarcus Aldridge\aldrila01,C,33,SAS,7,247,20.3,0.503,0.033,0.393,12.7,15.8,14.2,13.8,0.8,3,7.7,27.1,,0.4,0.2,0.6,0.12,,-0.7,0.1,-0.6,0.1
7,Grayson Allen\allengr01,SG,23,UTA,5,41,14.7,0.709,0.417,0.667,0,5.4,2.8,7.1,0,0,11.4,18.1,,0.1,0,0.1,0.169,,0.9,-3.1,-2.1,0
8,Jarrett Allen\allenja01,C,20,BRK,8,211,19.2,0.631,0.1,0.4,8.9,20.3,14.9,11.1,0.9,5.5,15.6,17,,0.3,0.2,0.6,0.134,,-0.6,3.4,2.8,0.3
9,Al-Farouq Aminu\aminual01,PF,28,POR,8,232,10.6,0.523,0.492,0.305,4.4,24.2,15.3,1.7,1.2,0.7,8.2,13.3,,0.1,0.4,0.5,0.103,,-1.6,0,-1.6,0
10,Kyle Anderson\anderky01,SF,25,MEM,6,138,8.4,0.407,0.077,0.308,5.6,23,14.2,12.8,3.2,1.4,23.4,12.5,,-0.2,0.3,0.1,0.045,,-6.3,5,-1.3,0
11,Ryan Anderson\anderry01,PF,30,PHO,7,147,8.9,0.485,0.537,0.244,7.4,9.7,8.5,11.9,0.6,0,11.7,15.1,,0,0,0,0.003,,-1.3,-2.8,-4.1,-0.1
12,Ike Anigbogu\anigbik01,C,20,IND,1,3,-27,0,0,0,0,38,19.5,0,0,29.2,33.3,44.5,,-0.1,0,-0.1,-1.013,,-46.4,8.3,-38.1,0
13,Giannis Antetokounmpo\antetgi01,PF,24,MIL,7,220,25.4,0.563,0.121,0.364,10,29.9,21.2,28.5,1.5,3.7,17.3,36.7,,0.2,0.6,0.8,0.184,,1.4,5.8,7.2,0.5
14,Carmelo Anthony\anthoca01,PF,34,HOU,6,187,9.9,0.484,0.467,0.2,3,17.7,9.4,3.3,1,2.5,6.8,19.5,,-0.1,0.1,0,-0.002,,-4.2,-1.6,-5.8,-0.2
15,OG Anunoby\anunoog01,SF,21,TOR,5,121,8.1,0.545,0.545,0,3.6,10.4,7.2,3.1,1.2,1.3,10.8,12.8,,0,0.1,0.2,0.061,,-1.1,0.5,-0.6,0
16,Ryan Arcidiacono\arcidry01,PG,24,CHI,7,178,14.3,0.702,0.75,0.156,0.6,6.6,3.7,28.7,1.6,0.5,14.9,9.9,,0.5,0,0.5,0.125,,2.3,-3.7,-1.4,0
17,Trevor Ariza\arizatr01,SF,33,PHO,7,228,8.8,0.496,0.6,0.231,1.9,15.6,8.5,15.8,1,0.4,14.4,15.9,,-0.1,0,0,-0.008,,-2,-1.6,-3.6,-0.1
18,D.J. Augustin\augusdj01,PG,31,ORL,7,183,10.6,0.498,0.527,0.218,2,5.8,3.8,26.2,0.8,0,11.7,15.7,,0.1,0,0.2,0.044,,-0.7,-2.8,-3.6,-0.1
19,Deandre Ayton\aytonde01,C,20,PHO,7,217,21.6,0.64,0,0.163,7.5,30.1,18.3,19.5,0.9,1.5,9.8,20.4,,0.6,0.1,0.7,0.15,,2,0.4,2.4,0.2
20,Dwayne Bacon\bacondw01,SG,23,CHO,3,21,25.4,0.717,0.5,0.5,0,10.2,5,14.1,2.3,0,0,19.8,,0.1,0,0.1,0.319,,7.4,-3,4.4,0
21,Marvin Bagley\baglema01,PF,19,SAC,9,210,18.9,0.6,0.108,0.398,13.3,16.9,15.1,6.4,1.5,4,17.7,23.1,,0.2,0.3,0.5,0.118,,0.1,0.1,0.3,0.1
22,Ron Baker\bakerro01,SG,25,NYK,6,79,-0.4,0.213,0.7,0.4,0,5.8,2.7,10.9,1.8,0,14.5,7.3,,-0.1,0,-0.1,-0.049,,-5.1,0.1,-4.9,-0.1
23,Wade Baldwin\baldwwa01,PG,22,POR,2,5,-39.1,0,0.333,0,0,36.8,20.3,0,0,0,40,42.4,,-0.1,0,-0.1,-1.074,,-41,-7.9,-48.9,-0.1
24,Lonzo Ball\balllo01,PG,21,LAL,8,224,14.1,0.587,0.6,0.138,2.8,14,8.5,19.1,1.8,0,13.8,14.5,,0.3,0.1,0.4,0.096,,1.7,-1.5,0.2,0.1
25,Mohamed Bamba\bambamo01,C,20,ORL,7,144,14.4,0.568,0.394,0.152,5.1,22.2,13.1,8.2,0.7,8.1,12.4,11.7,,0.1,0.2,0.3,0.091,,-2.8,4.8,2,0.1
26,J.J. Barea\bareajo01,PG,34,DAL,8,149,12.9,0.38,0.321,0.179,3.6,10.5,6.8,50.9,1.9,0,10.6,26.1,,-0.1,0.1,0,0,,-1.2,-3,-4.2,-0.1
27,Harrison Barnes\barneha02,SF,26,DAL,4,125,8.8,0.444,0.333,0.2,1.7,16.3,8.6,6,1.5,1.3,7.1,23.2,,-0.2,0.1,-0.1,-0.038,,-5.5,-2.4,-7.9,-0.2
28,Will Barton\bartowi01,SG,28,DEN,2,54,22.7,0.725,0.429,0.19,0,19.8,10,17.3,0.9,3.2,11.6,20,,0.2,0.1,0.3,0.253,,2.7,1.4,4.1,0.1
29,Keita Bates-Diop\bateske01,SF,23,MIN,1,6,-4.4,0,0,0,0,17.4,8.7,0,0,0,0,6.8,,0,0,0,-0.171,,-11.8,-3.5,-15.3,0
30,Nicolas Batum\batumni01,SF,30,CHO,9,307,12.3,0.579,0.532,0.114,3.1,16.8,9.8,14.3,1.7,2,19.4,14.3,,0.1,0.3,0.5,0.077,,0.5,1.6,2.1,0.3
31,Aron Baynes\baynear01,C,32,BOS,5,73,17.3,0.531,0.5,0.367,13.4,17.8,15.5,13.2,0,1.1,5.4,21.6,,0.2,0.2,0.3,0.206,,2.7,0.4,3.1,0.1
32,Kent Bazemore\bazemke01,SG,29,ATL,8,235,14.3,0.566,0.453,0.242,3.4,12.7,8,12.9,2.3,2.8,13.9,21.1,,0.1,0.2,0.3,0.059,,-1.6,0.4,-1.2,0
33,Bradley Beal\bealbr01,SG,25,WAS,7,233,18.1,0.563,0.469,0.219,0.9,12.5,6.6,20.2,1.4,2.1,9.1,27.6,,0.2,0.1,0.3,0.06,,3,-1.7,1.3,0.2
