Rank,Player,BPM
1.,LeBron James,9.18
2.,Chris Paul,7.54
3.,Russell Westbrook,6.65
4.,James Harden,6.53
5.,Stephen Curry,6.50
6.,Kevin Durant,5.14
7.,Manu Ginobili,4.95
8.,Dwyane Wade,4.76
9.,Joakim Noah,4.17
10.,Jimmy Butler,4.11
11.,Blake Griffin,3.97
12.,Kyle Lowry,3.89
13.,Damian Lillard,3.71
14.,Paul George,3.55
15.,Pau Gasol,3.53
16.,Marc Gasol,3.48
17.,Paul Millsap,3.27
18.,Dirk Nowitzki,3.26
19.,Al Horford,3.10
20.,Vince Carter,2.93
21.,Andre Iguodala,2.91
22.,DeMarcus Cousins,2.91
23.,Kevin Love,2.82
24.,Amir Johnson,2.61
25.,Nicolas Batum,2.55
26.,Dwight Howard,2.43
27.,John Wall,2.41
28.,Andrew Bogut,2.34
29.,Kemba Walker,2.33
30.,DeAndre Jordan,2.16
31.,Josh Smith,2.10
32.,Greg Monroe,2.05
33.,Gordon Hayward,2.01
34.,Nene Hilario,1.90
35.,George Hill,1.85
36.,Mike Conley,1.82
37.,Trevor Ariza,1.62
38.,Rajon Rondo,1.59
39.,Tyson Chandler,1.53
40.,David West,1.50
41.,LaMarcus Aldridge,1.40
42.,Goran Dragic,1.23
43.,Jason Terry,1.21
44.,Jared Dudley,1.17
45.,Wesley Matthews,1.16
46.,Jrue Holiday,1.12
47.,Thabo Sefolosha,1.11
48.,Tyreke Evans,1.10
49.,Tony Allen,1.00
50.,Carmelo Anthony,.96
51.,Luol Deng,.92
52.,Kyle Korver,.88
53.,Brook Lopez,.85
54.,Tony Parker,.82
55.,Marcin Gortat,.79
56.,Ryan Anderson,.74
57.,Ty Lawson,.69
58.,Serge Ibaka,.64
59.,Thaddeus Young,.50
60.,Rudy Gay,.48
61.,Brandon Jennings,.44
62.,Nick Collison,.41
63.,Devin Harris,.38
64.,Derrick Rose,.38
65.,Joe Johnson,.37
66.,Klay Thompson,.35
67.,Richard Jefferson,.29
68.,Al Jefferson,.28
69.,Mario Chalmers,.26
70.,J.R. Smith,.24
71.,Robin Lopez,.20
72.,Lou Williams,.19
73.,Jeff Teague,.17
74.,J.J. Redick,.10
75.,Jameer Nelson,.05
76.,Darren Collison,-0.01
77.,Taj Gibson,-0.02
78.,Ersan Ilyasova,-0.08
79.,Channing Frye,-0.15
80.,Courtney Lee,-0.15
81.,Marvin Williams,-0.26
82.,Jose Calderon,-0.26
83.,Zaza Pachulia,-0.30
84.,Kendrick Perkins,-0.38
85.,Emeka Okafor,-0.42
86.,Zach Randolph,-0.44
87.,Raymond Felton,-0.58
88.,DeMar DeRozan,-0.61
89.,Eric Gordon,-0.67
90.,Spencer Hawes,-0.74
91.,Wilson Chandler,-0.75
92.,Luc Mbah a Moute,-0.78
93.,O.J. Mayo,-0.80
94.,C.J. Miles,-0.88
95.,Jamal Crawford,-0.94
96.,Corey Brewer,-1.00
97.,Arron Afflalo,-1.15
98.,Jarrett Jack,-1.16
99.,Jeff Green,-1.33
100.,J.J. Barea,-1.57
